"","name","y","x","degree","in_degree","out_degree","strength","in_strength","out_strength","evcent","pagerank","auth_score","hub_score","betweenness","n.degree","n.strength","n.in_strength","n.out_strength","n.betweenness","n.evcent","n.pagerank","n.auth_score","n.hub_score"
"41","41",-29.495399,-71.333298,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"42","42",-29.4669,-71.348297,1,1,0,0.0226666666666667,0.0226666666666667,0,1.38777879395932e-17,0.00612891119265538,0,0,0,0.0909090909090909,0.000141644439251904,0.000283244437621967,0,0,1.38777879395932e-17,0.0111442847027739,0,0
"43","43",-29.949499,-71.306198,1,1,0,0.0183406113537118,0.0183406113537118,0,6.93889396979659e-18,0.00523725296863293,0,0,0,0.0909090909090909,0.000114610835767659,0.000229185712434933,0,0,6.93889396979659e-18,0.00102609728810462,0,0
"44","44",-29.439301,-71.306396,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"45","45",-29.437799,-71.323502,2,2,0,0.0106666666666667,0.0106666666666667,0,2.77555758791864e-17,0.00555283424581371,0,0,0,0.181818181818182,6.66562067067784e-05,0.000133291500057396,0,0,2.77555758791864e-17,0.00460718970787854,0,0
"46","46",-29.465401,-71.330597,1,1,0,0.003,0.003,0,6.93889396979659e-18,0.00527681034454983,0,0,0,0.0909090909090909,1.87470581362814e-05,3.74882343911427e-05,0,0,6.93889396979659e-18,0.00147497885772008,0,0
"47","47",-29.4214,-71.326897,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"48","48",-28.4624,-71.221001,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"49","49",-29.955799,-71.3311,2,2,0,0.00605329582563281,0.00605329582563281,0,1.38777879395932e-17,0.00578882330623157,0,0,0,0.181818181818182,3.78271629197493e-05,7.56424575834161e-05,0,0,1.38777879395932e-17,0.00728510090388351,0,0
"50","50",-29.417299,-71.3181,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"51","51",-29.967699,-71.352798,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"52","52",-29.3272,-71.3517,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"53","53",-29.3272,-71.3517,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"54","54",-29.906099,-71.276497,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"55","55",-28.707001,-71.332901,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"56","56",-28.6842,-71.308098,1,1,0,0.010934393638171,0.010934393638171,0,6.93889396979659e-18,0.00523975702345134,0,0,0,0.0909090909090909,6.83292377399257e-05,0.000136637037210924,0,0,6.93889396979659e-18,0.00105451231896138,0,0
"57","57",-30.245701,-71.499199,1,1,0,0.0579083837510804,0.0579083837510804,0,3.29737629223528e-12,0.00703152580924324,3.15719672691931e-15,0,0,0.0909090909090909,0.0003618706122532,0.00072362768775758,0,0,3.29737629223528e-12,0.0213868009582242,3.15719672691931e-15,0
"58","58",-29.9513,-71.305496,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
