"","from","to","weight","strength","cost","edge_betweenness","n.edge_betweenness","n.edge_weight","n.edge_strength","n.edge_cost"
"80","36","27",737.141669845608,0.00280636108512629,737.141669845608,4,0.114285714285714,0.210220331025057,2.770508661044e-05,0.210220331025057
"81","36","32",245.713889948536,0.00841908325537886,245.713889948536,4,0.114285714285714,0.0700685272179162,9.7864631139368e-05,0.0700685272179162
"82","36","36",130.083824090401,0.0159027128157156,130.083824090401,0,0,0.0370916322044714,0.000191410690511272,0.0370916322044714
"83","37","17",736.452107946781,0.00280898876404494,736.452107946781,0,0,0.210023672740949,2.77379328391521e-05,0.210023672740949
"84","37","24",3314.03448576051,0.000624219725343321,3314.03448576051,0,0,0.945132338734061,4.28118455570682e-07,0.945132338734061
"85","37","25",213.808676500678,0.00967540574282147,213.808676500678,2,0.0571428571428571,0.0609693810188438,0.000113568778044694,0.0609693810188438
"86","37","27",3314.03448576051,0.000624219725343321,3314.03448576051,0,0,0.945132338734061,4.28118455570682e-07,0.945132338734061
"87","37","36",220.935632384034,0.00936329588014981,220.935632384034,35,1,0.063001939542327,0.000109667375989896,0.063001939542327
"88","37","37",552.339080960086,0.00374531835205993,552.339080960086,0,0,0.157515910884299,3.94421390035441e-05,0.157515910884299
"89","37","49",602.55172468373,0.00343320848938826,602.55172468373,3,0.0857142857142857,0.171836209572476,3.55407369487467e-05,0.171836209572476
